instant_hour,dteday,season_hour,yr_hour,mnth_hour,hr,holiday_hour,weekday_hour,workingday_hour,weathersit_hour,temp_hour,atemp_hour,hum_hour,windspeed_hour,casual_hour,registered_hour,cnt_hour,instant_day,season_day,yr_day,mnth_day,holiday_day,weekday_day,workingday_day,weathersit_day,temp_day,atemp_day,hum_day,windspeed_day,casual_day,registered_day,cnt_day,demand_cluster
1,2011-01-01,Spring,0,January,0,No,Saturday,Weekend/Holiday,Clear/Partly Cloudy,9.84,14.4,81.0,0.0,3,13,16,1,Spring,2011,January,No,Saturday,Weekend/Holiday,Misty/Cloudy,14.11,18.18,80.58,10.75,331,654,985,Low Demand
2,2011-01-01,Spring,0,January,1,No,Saturday,Weekend/Holiday,Clear/Partly Cloudy,9.02,13.64,80.0,0.0,8,32,40,1,Spring,2011,January,No,Saturday,Weekend/Holiday,Misty/Cloudy,14.11,18.18,80.58,10.75,331,654,985,Low Demand
3,2011-01-01,Spring,0,January,2,No,Saturday,Weekend/Holiday,Clear/Partly Cloudy,9.02,13.64,80.0,0.0,5,27,32,1,Spring,2011,January,No,Saturday,Weekend/Holiday,Misty/Cloudy,14.11,18.18,80.58,10.75,331,654,985,Low Demand
4,2011-01-01,Spring,0,January,3,No,Saturday,Weekend/Holiday,Clear/Partly Cloudy,9.84,14.4,75.0,0.0,3,10,13,1,Spring,2011,January,No,Saturday,Weekend/Holiday,Misty/Cloudy,14.11,18.18,80.58,10.75,331,654,985,Low Demand
5,2011-01-01,Spring,0,January,4,No,Saturday,Weekend/Holiday,Clear/Partly Cloudy,9.84,14.4,75.0,0.0,0,1,1,1,Spring,2011,January,No,Saturday,Weekend/Holiday,Misty/Cloudy,14.11,18.18,80.58,10.75,331,654,985,Low Demand
6,2011-01-01,Spring,0,January,5,No,Saturday,Weekend/Holiday,Misty/Cloudy,9.84,12.88,75.0,6.0,0,1,1,1,Spring,2011,January,No,Saturday,Weekend/Holiday,Misty/Cloudy,14.11,18.18,80.58,10.75,331,654,985,Low Demand
7,2011-01-01,Spring,0,January,6,No,Saturday,Weekend/Holiday,Clear/Partly Cloudy,9.02,13.64,80.0,0.0,2,0,2,1,Spring,2011,January,No,Saturday,Weekend/Holiday,Misty/Cloudy,14.11,18.18,80.58,10.75,331,654,985,Low Demand
8,2011-01-01,Spring,0,January,7,No,Saturday,Weekend/Holiday,Clear/Partly Cloudy,8.2,12.88,86.0,0.0,1,2,3,1,Spring,2011,January,No,Saturday,Weekend/Holiday,Misty/Cloudy,14.11,18.18,80.58,10.75,331,654,985,Low Demand
9,2011-01-01,Spring,0,January,8,No,Saturday,Weekend/Holiday,Clear/Partly Cloudy,9.84,14.4,75.0,0.0,1,7,8,1,Spring,2011,January,No,Saturday,Weekend/Holiday,Misty/Cloudy,14.11,18.18,80.58,10.75,331,654,985,Low Demand
10,2011-01-01,Spring,0,January,9,No,Saturday,Weekend/Holiday,Clear/Partly Cloudy,13.12,17.42,76.0,0.0,8,6,14,1,Spring,2011,January,No,Saturday,Weekend/Holiday,Misty/Cloudy,14.11,18.18,80.58,10.75,331,654,985,Low Demand
11,2011-01-01,Spring,0,January,10,No,Saturday,Weekend/Holiday,Clear/Partly Cloudy,15.58,19.7,76.0,17.0,12,24,36,1,Spring,2011,January,No,Saturday,Weekend/Holiday,Misty/Cloudy,14.11,18.18,80.58,10.75,331,654,985,Low Demand
12,2011-01-01,Spring,0,January,11,No,Saturday,Weekend/Holiday,Clear/Partly Cloudy,14.76,16.66,81.0,19.0,26,30,56,1,Spring,2011,January,No,Saturday,Weekend/Holiday,Misty/Cloudy,14.11,18.18,80.58,10.75,331,654,985,Low Demand
